BUV395,LiveDeadBlue,GhostUV450,AF350,BUV496,BUV563,BUV615,BUV661,BUV737,BUV805,BV421,AF405,SB436,eFluor450,GhostV450,VioBlue,BV480,eFluor506,GhostV510,BV510,V500,LiveDeadAqua,BV570,cFluorYG584,SB600,BV605,BV650,SB645,SB702,BV711,BV750,BV786,BV785,SB780,BB515,NovaBlue510,FITC,AF488,NovaBlue530,NovaBlue555,SparkBlue550,AF532,NovaYellow570,NorthernLights557,PE,NovaBlue585,NovaYellow590,PE-eFluor610,PE-Dazzle594,PE-TexasRed,BB630,PE-CF594,NovaBlue610-30S,NovaYellow610,NovaBlue610-70S,PE-Vio615,PE-AF610,PE-Fire640,NovaBlue660-120S,PE-Cy5,PerCP,PerCP-Cy5.5,PE-Cy5.5,NovaYellow700,BB700,PE-Fire700,PerCP-Vio700,PerCP-eFluor710,PE-AF700,BB755,PE-Cy7,PE-Vio770,PE-Fire810,APC,NovaRed660,NovaYellow660,NovaBlue660-40S,AF647,eFluor660,DyLight650,SparkNIR685,NovaRed685,NovaYellow690,AF660,APC-Cy5.5,NovaRed700,APC-R700,AF700,R718,NovaRed710,GhostR710,AF750,APC-Vio770,APC-Cy7,APC-eFluor780,APC-H7,APC-Fire750,GhostR780,DyLight800,APC-Fire810,AfHuLym,AfHuLymICS,AfHuLymICSuv7
0.49,0.01,0.03,0.02,0.04,0.02,0.01,0.03,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.006500000000000001,0.0,0.0,0.0,0.0,0.0,-0.0013,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002817360874271564,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0003,0.0,0.0,0.0,0.0,0.0,0.04,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027428312707515848
1.0,0.06,0.1,0.06,0.08,0.03,0.03,0.05,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,-0.0034999999999999996,0.0,0.0,0.0,0.0,0.0,-0.0051,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017000000000000001,0.0,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005634721748543128,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0003,0.0,0.0,-0.0003,0.0,0.0,0.05,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.08022939933594929
0.5,0.44,0.48,0.42,0.04,0.02,0.02,0.03,0.02,0.04,0.09,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.0016,0.0,0.0,0.0,-0.0034999999999999996,0.0,0.0,0.0,0.0,0.0,-0.0044,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014000000000000002,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019276679666068596,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0003,0.0,0.0,-0.0003,0.0,0.0,0.13,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.10338062179293692
0.33,0.65,0.67,0.6,0.03,0.01,0.02,0.02,0.01,0.03,0.06,0.05,0.04,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,-0.0051,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013345393614970567,0.0,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0006,0.0,0.0,-0.0003,0.0,0.0,0.18,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.14443102927859947
0.32,0.83,0.83,0.78,0.05,0.01,0.01,0.02,0.01,0.03,0.08,0.05,0.05,0.02,0.01,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,-0.005699999999999999,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,-0.0016,0.0,0.01,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007562389715149988,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0009,0.0,0.0,-0.0006,0.0,0.0,0.28,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.20102626018714156
0.3,1.0,1.0,1.0,0.24,0.01,0.01,0.02,0.01,0.03,0.06,0.05,0.06,0.02,0.0,0.04,0.13,0.01,0.01,0.07,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005699999999999999,0.0,0.0,0.0,-0.0116,0.0,0.0,0.0,0.0,0.0,-0.0076,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005600000000000001,0.0,0.0,0.0,-0.0034999999999999996,0.0,0.01,0.0,0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013790240068802919,0.0,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,-0.0023,0.0,0.0,-0.0012,0.0,0.0,0.45,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.32991246604286145
0.18,0.75,0.77,0.91,1.0,0.01,0.0,0.01,0.01,0.02,0.05,0.03,0.04,0.01,0.0,0.04,0.25,0.06,0.07,0.36,0.07,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.0124,0.03,0.01,0.0,-0.027200000000000002,0.0,0.0,0.0,0.0,0.0,-0.012199999999999999,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0131,0.0,0.0,0.0,-0.008100000000000001,0.0,0.01,0.0,0.0,-0.0034000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002224232269161761,0.0,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,-0.0049,0.0,0.0,-0.0028000000000000004,0.0,0.0,0.8,-0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,1.0
0.06,0.24,0.26,0.36,0.54,0.23,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.13,0.04,0.05,0.32,0.05,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.0069,0.03,0.01,0.00999999999999998,-0.01,0.03,0.05,0.0,0.0,0.0,0.002,0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,-0.0042,0.0,0.0,0.0,0.0,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007117543261317635,0.0,-0.0034000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0022,0.0,0.0,-0.0011,0.0,0.0,0.5,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.4947177784485361
0.01,0.08,0.09,0.21,0.26,1.0,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.07,0.02,0.02,0.27,0.03,0.2,0.21,0.01,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.01,0.0,0.0,-0.0069,0.02,0.08,0.0,0.0,0.06,0.0126,0.0166,0.02,0.03,0.01,0.01,0.01,0.0,0.0,-0.0067,0.01,0.0,0.0,-0.0045000000000000005,0.0,0.0,0.0,0.01,-0.0018,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.006776494313379499,0.0,-0.0043,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,-0.0025,0.0,0.0,-0.0019,0.0,0.0,0.46,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.40235436160579535
0.0,0.02,0.02,0.09,0.07,0.27,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.1,0.01,0.06,0.08,0.0,0.18,0.2,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,-0.0005,0.01,0.03,0.0,0.0,0.02,0.011399999999999999,0.022000000000000002,0.04,0.05,0.04,0.1,0.04,0.0199999999999999,0.00999999999999998,0.0089,0.06,0.04,0.01,-0.0007000000000000001,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0017942140304571539,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0006,0.0,0.0,-0.0004,0.0,0.0,0.16,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1934198611530335
0.0,0.01,0.01,0.04,0.02,0.06,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.02,0.0,0.09,0.1,0.16,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0044,0.01,0.01,0.01,0.02,0.04,0.01,0.00999999999999998,0.0,0.0029,0.03,0.04,0.03,0.006500000000000001,0.03,0.13,0.07,0.0,0.0008,0.01,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.0006820978958762733,0.08,0.0077,0.0,0.00999999999999998,0.0,0.0,0.0,0.01,0.0025,0.0013,0.0,0.01,0.0013,0.0,0.0,0.09,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.09990944763054634
0.0,0.0,0.0,0.02,0.01,0.03,0.22,0.51,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.04,0.04,0.08,0.04,0.08,0.04,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0013,0.0043,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0029,0.02,0.02,0.01,0.0037,0.02,0.19,0.19,0.02,0.0054,0.05,0.02,0.08,0.05,0.0,0.0,0.0,0.0,0.0006820978958762733,0.03,0.0044,0.0,0.00999999999999998,0.0,0.0,0.01,0.02,0.005699999999999999,0.0054,0.01,0.03,0.0067,0.01,0.01,0.04,0.0046,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.049260488982795045
0.0,0.0,0.0,0.01,0.0,0.02,0.12,0.37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.03,0.05,0.04,0.14,0.14,0.02,0.0,0.0,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0026,0.0034000000000000002,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.001,0.01,0.01,0.01,0.0018,0.01,0.06,0.14,0.02,0.0060999999999999995,0.05,0.03,0.12,0.12,0.02,0.02,0.0,0.0,0.000607956820237548,0.02,0.0036,0.0,0.0,0.0,0.0,0.0,0.01,0.0038,0.0037,0.02,0.03,0.0075,0.03,0.03,0.07,0.012,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.052580742529429514
0.0,0.0,0.0,0.02,0.0,0.01,0.11,0.31,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.03,0.04,0.03,0.1,0.12,0.18,0.08,0.04,0.04,0.0,-0.0002,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0026,0.0033,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.001,0.01,0.01,0.01,0.0022,0.01,0.09,0.13,0.02,0.0031,0.04,0.02,0.1,0.09,0.02,0.16,0.01,0.01,0.0015124779430299975,0.03,0.0036,0.0,0.0,0.0,0.0,0.0,0.01,0.0031,0.0024,0.01,0.02,0.0038,0.03,0.03,0.08,0.0109,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.07,0.07,0.08234228795653487
0.0,0.0,0.0,0.02,0.0,0.01,0.06,0.16,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.08,0.08,0.14,0.18,0.14,0.14,0.0,-0.0002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0038,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.01,0.01,0.0013,0.01,0.03,0.09,0.01,0.0014000000000000002,0.03,0.02,0.07,0.07,0.01,0.14,0.04,0.04,0.011491866724002433,0.01,0.0021,0.0,0.0,0.0,0.0,0.0,0.01,0.0025,0.0011,0.01,0.02,0.0017000000000000001,0.01,0.02,0.06,0.0067,0.01,0.07,0.05,0.05,0.05,0.05,0.06,0.1,0.05,0.01,0.05,0.05,0.05925143374584969
0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.1,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.05,0.05,0.08,0.13,0.11,0.11,0.0,-0.0002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0025,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.02,0.05,0.01,0.0006,0.02,0.01,0.05,0.05,0.01,0.09,0.03,0.02,0.04648645442548081,0.01,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0005,0.0,0.01,0.0009,0.01,0.01,0.04,0.0049,0.01,0.04,0.03,0.03,0.04,0.05,0.05,0.09,0.13,0.07,0.05,0.05,0.07262300030184123
0.0,0.09,0.32,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,0.59,0.18,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.05,0.07,0.07,0.09,0.07,0.04,0.14,0.05,0.02,0.0,-0.0018,0.0,0.0,0.0,-0.0045000000000000005,0.0,0.0,0.0,0.0,0.0,-0.0026,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9656430255490146e-05,0.0,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0006,0.0,0.0,-0.0005,0.0,0.0,0.06,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.13256866888016902
0.0,0.2,0.81,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,0.91,0.82,0.68,0.01,0.0,0.02,0.02,0.0,0.02,0.11,0.0,0.1,0.04,0.07,0.11,0.14,0.07,0.04,0.13,0.05,0.04,0.0,-0.002,0.0,0.0,0.0,-0.0034999999999999996,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010379750589421551,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0003,0.0,0.0,-0.0003,0.0,0.0,0.09,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.19695140356172652
0.0,0.2,0.87,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.89,0.77,0.76,1.0,1.0,1.0,0.23,0.02,0.12,0.11,0.04,0.08,0.11,0.0,0.08,0.04,0.06,0.09,0.11,0.07,0.04,0.13,0.05,0.03,0.0,-0.0036,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041519002357686205,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0005,0.0,0.0,-0.0005,0.0,0.0,0.13,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.31904618170842136
0.0,0.12,0.54,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.35,0.37,0.41,0.56,0.55,0.65,0.99,0.13,0.35,0.26,0.24,0.23,0.04,0.0,0.04,0.02,0.03,0.04,0.06,0.03,0.01,0.05,0.02,0.02,0.0,-0.0027,0.0,0.0,0.0,-0.0055000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0,0.0,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007265825412595086,0.0,-0.0017000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.0007000000000000001,0.0,0.0,-0.0006,0.0,0.0,0.14,-0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.36432236643525506
0.0,0.06,0.3,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.23,0.29,0.28,0.42,1.0,0.9,0.91,0.67,0.81,0.67,0.02,0.0,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.009000000000000001,0.03,0.0,0.00999999999999998,-0.0087,0.0,0.0,0.0,0.0,0.0,0.0085,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009786621984311749,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,-0.0016,0.0,0.0,-0.0009,0.0,0.0,0.22,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.72,0.72,0.5937217023845457
